一切	hVX OMS
一般	hVX AdA
下載	jnR PTS
不禁	AXP d1Y
不要	AXP hiW
不錯	AXP OqT
丞相	ZwQ QpS
並行	CvB jrQ
中肯	JBC exR
主要	XKh hiW
乾坤	fgY eag
乾媽	dcQ DnA
乾旱	dcQ jcR
乾涸	dcQ jqT
乾淨	dcQ PuR
乾燥	dcQ QkR
乾爹	dcQ EoQ
乾爽	dcQ VpR
乾脆	dcQ ONi
乾貨	dcQ ili
交易	djQ luT
人種	cVQ XDB
以爲	lHR kFo
休假	iyM dnS
住宿	LKi QBD
佛教	CXP djS
作爲	NqT kFo
使用	VHR lDC
使館	VHS dci
供奉	dDM CDN
促使	ODD VHR
信函	QVS j6Q
倒數	EkS VKh
倒數	EkS VKi
值得	LwT ExT
值錢	LwT PgQ
假使	dnR VHR
假日	dnS cVT
停車	GvQ YoQ
傍晚	CqC DZN
傳承	Lgg ZwQ
傳統	Lgg FCC
傳說	Lgg agj
儲藏	LJQ PqQ
充分	YBA CXO
典當	EfR EqS
再見	NTS dfS
冠軍	dci dXs
出使	YVj VHS
出發	YVj AZP
分子	CXO NHR
分子	AXM NHR
分行	AXM jqQ
切割	OfT dcT
切實	OMS bVT
判斷	BcC Eci
刺殺	OFS VeT
勝任	awQ c1S
勝利	awS IGS
勝地	awS GGS
區別	eKs AgL
占卜	X4Q AAD
即使	NwT VHR
厭惡	h4W hLC
參差	T1Q TFQ
參與	O2Q lJS
參觀	O2Q dcg
反應	AZN hwe
反覆	AZN BBP
召喚	LiS ici
名勝	DuE awS
命令	DsK IuS
咽喉	hfQ jzA
哽咽	drR hfT
喜好	iHd ikS
單調	EcQ GhS
因爲	hVU kFq
土著	FLB LpT
壟斷	IDB Gch
夏天	jnS FfQ
夏季	jnS dGm
多少	ElQ aiR
多數	ElQ VKi
大使	GOS VHS
契約	eMS hpf
好處	ikR YJS
姥姥	IkR IkR
姥爺	IkR loQ
子女	NHR MJR
學校	jED jjS
宗教	NCA djS
容易	lDA lFS
宿舍	QBD aoS
寶藏	AkB PqS
將領	NpS IuR
尊重	Nag LDB
對應	ESi hwe
少年	aiS HfQ
少數	aiR VKi
少量	aiR IpS
尺度	YuT GLC
居住	dJc LKi
差別	TnQ AgL
差池	TFQ LFQ
差異	TPQ lHS
差異	TnQ lHS
平反	CsI BZM
幾乎	dIc jLA
彈劾	GcQ jxT
後來	jzB ITQ
後悔	jzB iSh
從容	ODA lDA
復辟	CBP AuH
德行	ExT jrS
快樂	eRi IqT
恐怕	eDO BnC
恐懼	eDN fKu
情調	PuQ GhS
愛好	hTS ikS
慘重	O2R LDB
應對	hwe ESi
應當	hwc EqQ
所在	VJR PTS
投降	GzA jEA
挑戰	GhR XgS
挑選	FhQ Qgh
排行	CQA jqS
